bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,index,price
3.0,1.5,7.200424892944957,8.976135873302546,1.5,0,0,3,7.200424892944957,0,4.189654742026425,16,1149,10,14,0,313000.0
5.0,2.5,8.202482446576537,9.110520036693972,2.0,0,4,5,8.122668023346407,280,4.605170185988092,0,3089,0,49,1,460943.4615385
3.0,2.0,7.5652752818989315,9.388235479817224,1.0,0,0,4,7.5652752818989315,0,4.007333185232471,0,1565,6,6,2,342000.0
3.0,2.25,7.600902459542082,8.990939806940807,1.0,0,0,4,6.907755278982138,1000,4.060443010546419,0,3743,2,46,3,420000.0
4.0,2.5,7.570443252057373,9.259130536145614,1.0,0,0,4,7.0387835413885425,800,3.80666248977032,29,3230,3,1,4,550000.0
2.0,1.0,6.779921907472253,8.760923376338836,1.0,0,0,3,6.779921907472253,0,4.418840607796597,27,2283,0,3,5,490000.0
2.0,2.0,7.2078598714324755,7.847762537473607,1.0,0,0,3,7.2078598714324755,0,3.80666248977032,0,806,3,1,6,335000.0
4.0,2.5,7.904703913873748,10.487600812071936,2.0,0,0,3,7.904703913873748,0,3.4657359027997265,0,2907,12,10,7,482000.0
3.0,2.5,7.795646536334593,8.946765374867635,1.0,0,0,4,7.358830898342353,860,3.58351893845611,0,1985,18,45,8,452500.0
4.0,2.0,7.326465613840322,8.732304571033183,1.5,0,0,3,7.326465613840322,0,4.330733340286331,11,2541,0,3,9,640000.0
3.0,1.75,7.444248649496705,8.898365606955357,1.0,0,0,3,7.444248649496705,0,4.290459441148391,27,25,21,17,10,463000.0
4.0,2.5,7.979338895262327,8.294049640102028,1.5,0,0,5,7.554858521040676,1010,4.718498871295094,33,1048,0,48,11,1400000.0
3.0,1.75,7.753623546559746,9.608579434992608,1.0,0,0,3,7.585788821732034,360,3.7135720667043084,0,1294,8,8,12,588500.0
3.0,1.0,6.9939329752231885,8.769507120030228,1.0,0,0,4,6.9939329752231885,0,4.189654742026425,12,3284,0,33,13,365000.0
5.0,2.75,7.975908360165538,9.156939595249069,1.5,0,0,3,7.975908360165538,0,4.4067192472642525,52,3045,0,48,14,1200000.0
3.0,1.5,7.090076835776093,9.181940897454485,1.0,0,0,4,7.090076835776093,0,4.02535169073515,0,3823,6,6,15,242500.0
3.0,1.5,7.358830898342353,8.809862805379057,1.0,0,0,4,7.358830898342353,0,4.174387269895637,0,4228,2,54,16,419000.0
4.0,3.0,8.04237800517328,8.886132618174951,2.0,0,0,3,8.04237800517328,0,3.1780538303479458,0,1315,7,22,17,367500.0
3.0,1.75,7.22256601882217,8.675563527387679,1.0,0,0,3,7.22256601882217,0,3.5263605246161616,21,2318,17,41,18,257950.0
3.0,1.5,7.073269717459709,9.237663667625071,1.0,0,0,3,7.073269717459709,0,3.6375861597263857,12,4407,18,45,19,275000.0
3.0,1.75,7.714231144849085,9.266531651625924,2.0,0,0,5,7.346010209913294,690,4.584967478670572,0,2475,0,3,20,750000.0
4.0,1.0,7.279318835414621,9.0825070004663,1.0,0,0,4,7.279318835414621,0,4.204692619390967,42,3798,2,4,21,435000.0
3.0,2.25,7.467371066917559,7.360103972989153,2.5,0,0,3,7.293017679772782,280,2.772588722239781,0,3487,0,62,22,626000.0
4.0,2.5,7.912056888179006,9.414178772232386,2.0,0,0,3,7.912056888179006,0,3.4011973816621555,0,1780,3,56,23,612500.0
4.0,1.75,7.377758908227872,8.760923376338836,1.0,0,0,3,7.029972911706387,470,4.127134385045092,32,3025,0,15,24,495000.0
3.0,2.5,7.644919344958858,9.290444616217844,1.0,0,0,4,7.215239978730098,730,3.5263605246161616,0,1176,9,50,25,285000.0
3.0,1.75,7.766416898019655,8.89439598980643,1.0,0,0,4,7.215239978730098,1000,4.290459441148391,0,3410,0,40,26,615000.0
4.0,2.25,7.696212639346408,9.328123407632567,1.5,0,0,5,7.170119543449628,900,4.61512051684126,0,577,4,16,27,698000.0
5.0,2.5,7.944492163932159,11.120149507978054,2.0,0,0,3,7.944492163932159,0,3.737669618283368,7,2901,5,18,28,675000.0
3.0,2.5,7.863266724009573,8.465899897028686,1.0,0,0,4,7.438383530044308,900,4.248495242049359,22,4303,0,2,29,790000.0
4.0,1.75,7.352441100243581,9.071078304642676,1.0,0,0,4,7.352441100243581,0,3.9889840465642745,0,1274,4,7,30,382500.0
4.0,2.5,7.958576903813897,8.11522197256233,2.0,0,0,3,7.691656822810548,670,2.8332133440562166,18,1498,11,37,31,499950.0
4.0,2.0,7.506591780070841,8.517193191416238,1.5,0,1,3,7.402451520818245,180,4.330733340286331,11,1706,0,3,32,650000.0
4.0,2.5,7.944492163932159,9.036938912556787,2.0,0,0,3,7.944492163932159,0,1.9459101490553128,0,2340,10,17,33,625000.0
4.0,2.5,8.196987927258897,10.66625407497613,1.5,0,0,3,7.7406644019172415,0,3.737669618283368,7,3082,7,22,34,400000.0
3.0,2.5,8.083328608786376,10.408828161071542,2.0,0,2,3,8.083328608786376,0,3.258096538021482,0,2200,9,11,35,604000.0
2.0,1.0,6.684611727667928,8.486733983931531,1.0,0,0,4,6.684611727667928,0,4.343805421853683,0,1732,0,39,36,440000.0
3.0,3.0,7.52294091807237,9.901786105896369,1.0,0,0,4,6.9939329752231885,760,3.3672958299864737,0,30,12,10,37,287200.0
3.0,2.0,7.580699752224562,9.480367509189245,1.0,0,2,5,7.408530566894625,310,4.158883083359672,0,460,3,38,38,403000.0
3.0,2.5,7.779048644925556,8.787220328629298,1.0,0,2,4,7.2723983925700475,950,4.189654742026425,12,4453,0,36,39,750000.0
3.0,2.25,7.365180126021014,9.693692018741418,1.0,0,0,4,7.365180126021014,0,3.7612001156935615,21,3999,3,22,40,335000.0
4.0,2.0,7.299797366758161,9.062420241899561,1.0,0,0,4,7.299797366758161,0,3.8501476017100575,0,538,1,60,41,260000.0
2.0,1.0,6.745236349484363,8.728102205062104,1.0,0,0,4,6.745236349484363,0,4.262679877041316,38,3311,10,17,42,308500.0
3.0,2.5,7.478734825567875,7.963807953231451,2.0,0,0,3,7.478734825567875,0,3.4339872044851463,12,107,0,36,43,439950.0
2.0,1.0,7.098375638590786,9.148464968258097,1.0,0,0,2,7.098375638590786,0,4.276666119016055,0,4433,0,33,44,235000.0
3.0,1.0,7.0561752841004095,9.124782483614537,1.0,0,0,3,7.0561752841004095,0,3.970291913552122,24,1945,11,44,45,315000.0
3.0,2.25,7.585788821732034,10.465956409453957,2.0,0,0,4,7.585788821732034,0,3.7841896339182615,0,719,5,13,46,437500.0
3.0,2.5,7.5652752818989315,9.255313737618916,2.0,0,0,3,7.5652752818989315,0,3.218875824868201,0,1178,1,5,47,407500.0
3.0,2.5,7.146772179452637,7.073269717459709,3.0,0,0,3,7.146772179452637,0,2.9957322735539913,0,1158,0,39,48,445700.0
4.0,2.5,8.104703468371108,10.668908881966091,2.0,0,0,3,8.104703468371108,0,2.9957322735539913,0,1373,3,1,49,838000.0
4.0,2.75,7.904703913873748,10.526131793458472,2.0,0,0,3,7.904703913873748,0,3.0445224377234235,0,225,5,13,50,630000.0
3.0,1.75,7.975908360165538,10.468801361586188,1.5,0,0,3,7.975908360165538,0,3.737669618283368,7,3812,8,20,51,550000.0
3.0,2.0,7.904703913873748,8.411832675758411,1.5,0,0,4,7.539027055823995,830,4.5217885770490405,0,3444,0,3,52,805000.0
3.0,1.75,7.495541943884256,10.047717758207359,1.0,0,0,3,7.495541943884256,0,3.970291913552122,24,459,3,22,53,284000.0
5.0,2.5,7.7007477945117975,9.175231194862617,1.0,0,0,3,7.286191714702383,750,3.80666248977032,0,2337,3,56,54,470000.0
4.0,1.5,7.560080465021827,9.210340371976184,1.0,0,0,4,6.975413927455953,850,4.204692619390967,42,2656,2,4,55,430000.0
4.0,1.75,7.691656822810548,8.946765374867635,1.0,0,2,3,7.691656822810548,0,3.970291913552122,24,565,7,22,56,491500.0
5.0,3.25,8.205218426395414,9.392245175273796,2.0,0,2,3,7.371489295214277,0,2.7080502011022096,0,2975,15,27,57,785000.0
3.0,3.25,7.1853870155804165,7.190676034332207,2.0,0,0,3,6.9469759921354175,280,2.5649493574615367,0,522,0,29,58,385000.0
2.0,2.5,7.396335293800808,7.221105098182496,2.0,0,0,3,7.154615356913662,350,2.4849066497880004,0,1563,0,33,59,295000.0
4.0,2.5,8.104703468371108,8.779557455883728,2.0,0,0,3,8.104703468371108,0,2.19722457733622,109,12,15,27,60,555000.0
3.0,2.5,7.893572073504902,8.619569258033104,2.0,0,0,3,7.893572073504902,0,2.079441541679836,98,36,18,45,61,459990.0
4.0,3.25,7.912056888179006,10.896998551203797,1.0,0,0,3,7.352441100243581,1170,2.6390573296152584,0,2622,1,5,62,625000.0
3.0,2.5,7.8399193600125825,8.527143522269405,2.0,0,0,3,7.8399193600125825,0,2.7080502011022096,0,2262,6,6,63,300000.0
4.0,2.75,7.979338895262327,8.795582216956426,2.0,0,0,3,7.979338895262327,0,2.19722457733622,109,2403,1,5,64,625000.0
2.0,1.0,6.802394763324312,8.517193191416238,1.0,0,0,3,6.802394763324312,0,4.343805421853683,0,4021,0,2,65,553000.0
3.0,2.5,7.408530566894625,9.550662331752145,1.0,0,0,4,7.029972911706387,520,3.555348061489413,0,3197,5,13,66,379880.0
3.0,1.0,6.917705609835306,9.204825191288071,1.0,0,0,4,6.917705609835306,0,3.8712010109078916,0,117,15,27,67,310000.0
2.0,2.5,7.893572073504902,8.90815361332152,1.0,0,0,3,7.893572073504902,0,2.8332133440562166,18,3372,3,9,68,775000.0
3.0,2.5,7.696212639346408,8.902455592206882,1.0,0,0,5,7.358830898342353,630,3.49650756146648,0,2028,1,12,69,365000.0
