bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country,price
3.0,1.5,7.200424892944957,8.976135873302548,1.5,0,0,3,7.200424892944957,0,4.189654742026425,16,623,10,14,0,313000.0
5.0,2.5,8.202482446576537,9.110520036693972,2.0,0,4,5,8.122668023346407,280,4.605170185988092,0,1351,0,47,0,460943.46153850004
3.0,2.0,7.5652752818989315,9.388235479817224,1.0,0,0,4,7.5652752818989315,0,4.007333185232471,0,4406,6,6,0,342000.0
3.0,2.25,7.600902459542082,8.990939806940807,1.0,0,0,4,6.907755278982137,1000,4.060443010546419,0,972,2,45,0,420000.0
4.0,2.5,7.570443252057374,9.259130536145614,1.0,0,0,4,7.038783541388542,800,3.8066624897703196,29,4338,3,1,0,550000.0
2.0,1.0,6.779921907472252,8.760923376338836,1.0,0,0,3,6.779921907472252,0,4.418840607796598,27,3615,0,3,0,490000.0
2.0,2.0,7.2078598714324755,7.847762537473608,1.0,0,0,3,7.2078598714324755,0,3.8066624897703196,0,4239,3,1,0,335000.0
4.0,2.5,7.904703913873747,10.487600812071937,2.0,0,0,3,7.904703913873747,0,3.4657359027997265,0,1694,12,10,0,482000.0
3.0,2.5,7.795646536334594,8.946765374867635,1.0,0,0,4,7.358830898342354,860,3.58351893845611,0,1364,18,46,0,452500.0
4.0,2.0,7.326465613840322,8.732304571033183,1.5,0,0,3,7.326465613840322,0,4.330733340286331,11,1521,0,3,0,640000.0
3.0,1.75,7.444248649496705,8.898365606955357,1.0,0,0,3,7.444248649496705,0,4.290459441148391,27,40,21,17,0,463000.0
4.0,2.5,7.979338895262328,8.294049640102028,1.5,0,0,5,7.554858521040676,1010,4.718498871295094,33,3265,0,48,0,1400000.0
3.0,1.75,7.753623546559746,9.608579434992608,1.0,0,0,3,7.585788821732034,360,3.713572066704308,0,2274,8,9,0,588500.0
3.0,1.0,6.993932975223189,8.769507120030227,1.0,0,0,4,6.993932975223189,0,4.189654742026425,12,3034,0,33,0,365000.0
5.0,2.75,7.975908360165538,9.156939595249067,1.5,0,0,3,7.975908360165538,0,4.406719247264253,52,1217,0,48,0,1200000.0
3.0,1.5,7.090076835776092,9.181940897454485,1.0,0,0,4,7.090076835776092,0,4.02535169073515,0,1082,6,6,0,242500.0
3.0,1.5,7.358830898342354,8.809862805379057,1.0,0,0,4,7.358830898342354,0,4.174387269895637,0,1581,2,54,0,419000.0
4.0,3.0,8.04237800517328,8.886132618174951,2.0,0,0,3,8.04237800517328,0,3.1780538303479458,0,183,7,20,0,367500.0
3.0,1.75,7.222566018822171,8.675563527387679,1.0,0,0,3,7.222566018822171,0,3.5263605246161616,21,159,17,41,0,257950.0
3.0,1.5,7.07326971745971,9.237663667625073,1.0,0,0,3,7.07326971745971,0,3.6375861597263857,12,1379,18,46,0,275000.0
3.0,1.75,7.7142311448490855,9.266531651625925,2.0,0,0,5,7.346010209913293,690,4.584967478670572,0,2089,0,3,0,750000.0
4.0,1.0,7.27931883541462,9.082507000466299,1.0,0,0,4,7.27931883541462,0,4.204692619390966,42,506,2,4,0,435000.0
3.0,2.25,7.4673710669175595,7.360103972989152,2.5,0,0,3,7.293017679772782,280,2.772588722239781,0,1030,0,62,0,626000.0
4.0,2.5,7.912056888179006,9.414178772232386,2.0,0,0,3,7.912056888179006,0,3.4011973816621555,0,3367,3,56,0,612500.0
4.0,1.75,7.3777589082278725,8.760923376338836,1.0,0,0,3,7.029972911706386,470,4.127134385045092,32,3645,0,16,0,495000.0
3.0,2.5,7.644919344958857,9.290444616217844,1.0,0,0,4,7.215239978730097,730,3.5263605246161616,0,1898,9,50,0,285000.0
3.0,1.75,7.7664168980196555,8.89439598980643,1.0,0,0,4,7.215239978730097,1000,4.290459441148391,0,335,0,40,0,615000.0
4.0,2.25,7.696212639346407,9.328123407632566,1.5,0,0,5,7.170119543449628,900,4.61512051684126,0,1955,4,15,0,698000.0
5.0,2.5,7.944492163932159,11.120149507978052,2.0,0,0,3,7.944492163932159,0,3.7376696182833684,7,4205,5,18,0,675000.0
3.0,2.5,7.8632667240095735,8.465899897028686,1.0,0,0,4,7.438383530044307,900,4.248495242049359,22,3517,0,2,0,790000.0
4.0,1.75,7.352441100243583,9.071078304642676,1.0,0,0,4,7.352441100243583,0,3.9889840465642745,0,4369,4,7,0,382500.0
4.0,2.5,7.958576903813898,8.11522197256233,2.0,0,0,3,7.691656822810547,670,2.833213344056216,18,3024,11,37,0,499950.0
4.0,2.0,7.506591780070841,8.517193191416238,1.5,0,1,3,7.402451520818244,180,4.330733340286331,11,3472,0,3,0,650000.0
4.0,2.5,7.944492163932159,9.036938912556787,2.0,0,0,3,7.944492163932159,0,1.9459101490553132,0,3747,10,17,0,625000.0
4.0,2.5,8.196987927258897,10.66625407497613,1.5,0,0,3,7.7406644019172415,0,3.7376696182833684,7,3190,7,20,0,400000.0
3.0,2.5,8.083328608786376,10.408828161071545,2.0,0,2,3,8.083328608786376,0,3.258096538021482,0,3033,9,11,0,604000.0
2.0,1.0,6.684611727667927,8.48673398393153,1.0,0,0,4,6.684611727667927,0,4.343805421853684,0,2136,0,39,0,440000.0
3.0,3.0,7.52294091807237,9.90178610589637,1.0,0,0,4,6.993932975223189,760,3.367295829986474,0,68,12,10,0,287200.0
3.0,2.0,7.580699752224563,9.480367509189243,1.0,0,2,5,7.408530566894626,310,4.1588830833596715,0,3427,3,38,0,403000.0
3.0,2.5,7.779048644925556,8.787220328629298,1.0,0,2,4,7.272398392570047,950,4.189654742026425,12,4427,0,36,0,750000.0
3.0,2.25,7.365180126021013,9.693692018741418,1.0,0,0,4,7.365180126021013,0,3.7612001156935624,21,3159,3,22,0,335000.0
4.0,2.0,7.299797366758161,9.062420241899561,1.0,0,0,4,7.299797366758161,0,3.8501476017100584,0,3941,1,60,0,260000.0
2.0,1.0,6.745236349484363,8.728102205062104,1.0,0,0,4,6.745236349484363,0,4.2626798770413155,38,1665,10,17,0,308500.0
3.0,2.5,7.478734825567875,7.963807953231451,2.0,0,0,3,7.478734825567875,0,3.4339872044851463,12,1166,0,36,0,439950.0
2.0,1.0,7.098375638590786,9.148464968258095,1.0,0,0,2,7.098375638590786,0,4.276666119016055,0,2553,0,33,0,235000.0
3.0,1.0,7.05617528410041,9.124782483614537,1.0,0,0,3,7.05617528410041,0,3.970291913552122,24,2426,11,44,0,315000.0
3.0,2.25,7.585788821732034,10.465956409453957,2.0,0,0,4,7.585788821732034,0,3.784189633918261,0,544,5,13,0,437500.0
3.0,2.5,7.5652752818989315,9.255313737618915,2.0,0,0,3,7.5652752818989315,0,3.2188758248682006,0,1853,1,5,0,407500.0
3.0,2.5,7.146772179452637,7.07326971745971,3.0,0,0,3,7.146772179452637,0,2.995732273553991,0,2655,0,39,0,445700.0
4.0,2.5,8.104703468371108,10.668908881966093,2.0,0,0,3,8.104703468371108,0,2.995732273553991,0,3687,3,1,0,838000.0
4.0,2.75,7.904703913873747,10.52613179345847,2.0,0,0,3,7.904703913873747,0,3.044522437723423,0,1810,5,13,0,630000.0
3.0,1.75,7.975908360165538,10.468801361586188,1.5,0,0,3,7.975908360165538,0,3.7376696182833684,7,3860,8,22,0,550000.0
3.0,2.0,7.904703913873747,8.411832675758411,1.5,0,0,4,7.539027055823995,830,4.5217885770490405,0,2051,0,3,0,805000.0
3.0,1.75,7.495541943884256,10.04771775820736,1.0,0,0,3,7.495541943884256,0,3.970291913552122,24,4505,3,22,0,284000.0
5.0,2.5,7.700747794511798,9.175231194862615,1.0,0,0,3,7.286191714702382,750,3.8066624897703196,0,3792,3,56,0,470000.0
4.0,1.5,7.560080465021827,9.210340371976184,1.0,0,0,4,6.975413927455952,850,4.204692619390966,42,2803,2,4,0,430000.0
4.0,1.75,7.691656822810547,8.946765374867635,1.0,0,2,3,7.691656822810547,0,3.970291913552122,24,3802,7,20,0,491500.0
5.0,3.25,8.205218426395412,9.392245175273795,2.0,0,2,3,7.371489295214277,0,2.70805020110221,0,3499,15,27,0,785000.0
3.0,3.25,7.1853870155804165,7.190676034332207,2.0,0,0,3,6.946975992135418,280,2.5649493574615367,0,1795,0,29,0,385000.0
2.0,2.5,7.396335293800808,7.221105098182496,2.0,0,0,3,7.154615356913663,350,2.4849066497880004,0,2052,0,33,0,295000.0
4.0,2.5,8.104703468371108,8.779557455883728,2.0,0,0,3,8.104703468371108,0,2.1972245773362196,109,45,15,27,0,555000.0
3.0,2.5,7.893572073504902,8.619569258033104,2.0,0,0,3,7.893572073504902,0,2.0794415416798357,98,16,18,46,0,459990.0
4.0,3.25,7.912056888179006,10.896998551203797,1.0,0,0,3,7.352441100243583,1170,2.6390573296152584,0,3397,1,5,0,625000.0
3.0,2.5,7.8399193600125825,8.527143522269405,2.0,0,0,3,7.8399193600125825,0,2.70805020110221,0,1301,6,6,0,300000.0
4.0,2.75,7.979338895262328,8.795582216956426,2.0,0,0,3,7.979338895262328,0,2.1972245773362196,109,4088,1,5,0,625000.0
2.0,1.0,6.802394763324311,8.517193191416238,1.0,0,0,3,6.802394763324311,0,4.343805421853684,0,1572,0,2,0,553000.0
3.0,2.5,7.408530566894626,9.550662331752143,1.0,0,0,4,7.029972911706386,520,3.5553480614894135,0,1903,5,13,0,379880.0
3.0,1.0,6.917705609835305,9.204825191288073,1.0,0,0,4,6.917705609835305,0,3.871201010907891,0,4315,15,27,0,310000.0
2.0,2.5,7.893572073504902,8.90815361332152,1.0,0,0,3,7.893572073504902,0,2.833213344056216,18,1596,3,8,0,775000.0
3.0,2.5,7.696212639346407,8.902455592206882,1.0,0,0,5,7.358830898342354,630,3.4965075614664802,0,3840,1,12,0,365000.0
4.0,2.5,7.835974581721566,9.203617826215355,2.0,0,2,3,7.605890001053122,520,3.4339872044851463,12,515,7,20,0,331950.0
3.0,2.5,7.955074273262696,8.872066513408342,2.0,0,0,3,7.595889917718538,860,3.713572066704308,0,2215,0,35,0,783500.0
4.0,2.0,7.731930721948486,8.701180027529253,1.0,0,0,3,7.038783541388542,1140,4.795790545596741,16,3890,0,35,0,628000.0
3.0,2.5,7.549609165154532,9.076123029856374,2.0,0,0,3,7.549609165154532,0,3.5263605246161616,21,393,8,9,0,560000.0
3.0,1.0,7.1929342212158,11.264105066866035,1.0,0,0,3,7.1929342212158,0,4.532599493153256,67,1971,4,15,0,900000.0
2.0,3.0,7.146772179452637,7.069023426578259,2.0,0,0,3,7.01211529430638,160,3.044522437723423,0,2903,0,0,0,531000.0
4.0,3.0,7.682482446534506,8.294049640102028,2.0,0,0,4,7.383989457978509,560,3.6635616461296463,10,4189,0,28,0,831000.0
4.0,2.5,7.912056888179006,9.238052810542719,2.0,0,2,3,7.912056888179006,0,3.2188758248682006,0,4508,8,9,0,780000.0
4.0,2.5,7.659171367666058,9.230339058482873,1.0,0,0,4,7.3901814282264295,500,4.110873864173311,20,1447,2,58,0,755000.0
3.0,2.5,7.820037989458753,8.376320632534823,2.0,0,0,3,7.820037989458753,0,2.8903717578961645,0,2958,5,18,0,705380.0
4.0,2.25,7.595889917718538,8.950532836290382,1.0,0,0,3,7.098375638590786,780,3.871201010907891,8,999,5,13,0,627000.0
4.0,3.0,8.213381737034572,9.199481628641307,2.0,0,0,3,7.371489295214277,0,3.1354942159291497,15,4383,8,22,0,865000.0
2.0,1.0,7.8399193600125825,8.85366542803745,1.0,0,0,5,7.1853870155804165,1220,4.3694478524670215,0,2358,0,24,0,580000.0
3.0,2.25,7.495541943884256,10.510641019929098,1.0,0,0,4,7.215239978730097,440,3.7612001156935624,21,2037,5,13,0,410000.0
4.0,3.0,7.757906208351747,8.860499167616016,1.0,0,0,4,7.200424892944957,1000,3.7376696182833684,0,2630,4,7,0,485000.0
2.0,1.75,7.6544432264701125,9.161045080251306,1.0,0,0,2,7.6544432264701125,0,4.290459441148391,0,1499,10,17,0,400000.0
2.0,1.0,7.038783541388542,8.594154232552366,1.0,0,0,5,7.038783541388542,0,4.727387818712341,0,2848,0,28,0,549000.0
3.0,1.75,7.299797366758161,7.68937110752969,2.5,0,0,3,7.299797366758161,0,2.772588722239781,0,2696,4,15,0,620000.0
2.0,3.0,7.251344983372214,7.122866658599083,2.0,0,0,3,7.038783541388542,270,2.70805020110221,0,64,0,40,0,405000.0
2.0,1.0,7.090076835776092,8.995040974685022,1.0,0,0,4,7.090076835776092,0,4.143134726391533,49,3651,17,41,0,232000.0
5.0,2.5,8.064636475774222,9.53285855926342,2.0,0,0,4,8.064636475774222,0,3.4339872044851463,0,936,4,15,0,800866.0
3.0,1.5,7.67786350067821,9.104979856318357,1.0,0,2,4,7.24422751560335,760,4.276666119016055,36,1746,0,43,0,650000.0
6.0,1.75,7.979338895262328,8.517193191416238,2.5,0,0,4,7.930206206684683,140,4.727387818712341,0,4521,0,35,0,823000.0
3.0,2.0,7.762170607138205,8.648221453822641,1.5,0,0,4,7.501082124259871,540,4.406719247264253,32,176,0,28,0,770000.0
3.0,1.75,7.352441100243583,8.616133139271142,1.0,0,0,4,6.659293919683638,780,4.343805421853684,0,402,0,29,0,524000.0
5.0,2.75,7.9157131993821155,9.039077442538963,1.0,0,0,4,7.222566018822171,0,4.110873864173311,20,3421,2,4,0,541125.0
3.0,2.5,7.426549072397305,7.600902459542082,3.0,0,0,3,7.426549072397305,0,4.718498871295094,23,4190,0,48,0,670000.0
5.0,2.5,8.035926369891792,9.453286550586572,1.0,0,0,3,7.4673710669175595,0,3.970291913552122,24,1626,9,11,0,384900.0
3.0,2.25,7.251344983372214,7.194436851100335,3.0,0,0,3,7.251344983372214,0,2.772588722239781,0,2980,0,0,0,406100.0
5.0,3.5,8.296546520300614,9.04899722156742,2.0,0,1,5,7.955074273262696,1160,3.912023005428146,0,3114,0,48,0,1395000.0
